date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,8.2,6.2,10.9,4.1,,,16.4,,1009.3,
2024-01-02 00:00:00,10.9,9.9,11.8,,,,28,,998.6,
2024-01-03 00:00:00,10.8,9.1,12.7,,,,20.2,,999.8,
2024-01-04 00:00:00,9.6,7.6,11.1,,,,16.4,,1006.2,
2024-01-05 00:00:00,7.9,6.1,9.9,,,,12.2,,1004.3,
2024-01-06 00:00:00,6.3,5.3,7.3,1,,,14.2,,1013.2,
2024-01-07 00:00:00,3.7,1.8,5.2,,,,18.7,,1021.2,
2024-01-08 00:00:00,-0.5,-1.2,1.1,,,,18.1,,1027,
2024-01-09 00:00:00,-1.6,-2.1,-1.2,,,,13.2,,1026.6,
2024-01-10 00:00:00,-0.6,-1.9,1.2,0,,,9.1,,1026.1,
2024-01-11 00:00:00,0,-1.5,2.4,0,,,14.3,,1031.4,
2024-01-12 00:00:00,1.9,-0.2,3.2,0,,,13.4,,1033.4,
2024-01-13 00:00:00,-1,-1.8,0.1,0,,,5.3,,1027.5,
2024-01-14 00:00:00,-1.6,-2.8,0.2,,,,7.3,,1016.2,
2024-01-15 00:00:00,2.1,0,4.7,,,,9.7,,1011.4,
2024-01-16 00:00:00,-0.3,-3.1,3.7,0,,,6.4,,1010.8,
2024-01-17 00:00:00,1.8,-0.3,5.2,,,,8.8,,991,
2024-01-18 00:00:00,1,-0.3,3,7.9,,,14.7,,1003,
2024-01-19 00:00:00,0.2,-1.6,5,0,,,6.8,,1023.7,
2024-01-20 00:00:00,-0.7,-3.6,3.1,0,,,7.6,,1029.7,
2024-01-21 00:00:00,4,-0.9,9.7,,,,15.8,,1024.1,
2024-01-22 00:00:00,11,8.8,13.2,,,,24.8,,1018.3,
2024-01-23 00:00:00,9.7,7.6,13.3,,,,13.6,,1028.7,
2024-01-24 00:00:00,13.5,12.5,14.4,,,,13.6,,1029.4,
2024-01-25 00:00:00,11.5,10.2,13.5,,,,7.9,,1030.6,
2024-01-26 00:00:00,10.5,5.9,12.3,1.1,,,13.4,,1031,
2024-01-27 00:00:00,4.8,1.6,8.3,0,,,7.2,,1035.6,
2024-01-28 00:00:00,5,1.7,9,0,,,8.3,,1027.5,
2024-01-29 00:00:00,8.6,4.5,14.3,0,,,9.6,,1027.5,
2024-01-30 00:00:00,10.2,8.7,11.5,0,,,8,,1030.9,
2024-01-31 00:00:00,8.2,5.6,10,0,,,8.1,,1034.5,
