Périmètre;Nature;Date;Heure;Date et Heure;Consommation (MW);Prévision J-1 (MW);Prévision J (MW);Fioul (MW);Charbon (MW);Gaz (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Taux de CO2 (g/kWh);Ech. comm. Angleterre (MW);Ech. comm. Espagne (MW);Ech. comm. Italie (MW);Ech. comm. Suisse (MW);Ech. comm. Allemagne-Belgique (MW);Fioul - TAC (MW);Fioul - Cogénération (MW);Fioul - Autres (MW);Gaz - TAC (MW);Gaz - Cogénération (MW);Gaz - CCG (MW);Gaz - Autres (MW);Hydraulique - Fil de l'eau + éclusée (MW);Hydraulique - Lacs (MW);Hydraulique - STEP turbinage (MW);Bioénergies - Déchets (MW);Bioénergies - Biomasse (MW);Bioénergies - Biogaz (MW)
France;Données consolidées;2024-01-01;02:00;2024-01-01T02:00:00+01:00;52770;52300;52000;96;17;2001;37093;14988;0;6186;-1716;1221;-7009;21;-1878;-2636;-2495;-2142;2639;14;64;18;93;769;173;966;5110;1071;5;515;362;344
France;Données consolidées;2024-01-01;03:00;2024-01-01T03:00:00+01:00;50560;49900;49300;95;17;2013;36957;11549;0;6566;-2432;1219;-5325;23;-1023;-2636;-2438;-1980;3585;14;63;18;94;764;208;947;5036;1145;385;514;359;346
France;Données consolidées;2024-01-01;03:30;2024-01-01T03:30:00+01:00;49627;48600;48000;95;17;2006;37009;9254;0;5845;-1951;1219;-3760;24;-1023;-2636;-2438;-1980;3492;14;63;18;94;767;197;949;4972;866;6;515;358;346
France;Données consolidées;2024-01-01;06:30;2024-01-01T06:30:00+01:00;48063;45400;46600;95;17;2015;36797;8468;0;5645;-2541;1198;-3524;25;-1167;-2600;-2322;-1853;3753;14;63;18;98;771;201;944;4767;872;6;499;355;344
France;Données consolidées;2024-01-01;08:45;2024-01-01T08:45:00+01:00;;45350;46850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2024-01-01;11:30;2024-01-01T11:30:00+01:00;51863;51100;50100;92;17;1956;36773;10691;4202;5875;-2282;1203;-6559;22;-3014;-2251;-928;-1419;1320;14;60;18;99;772;123;962;4913;955;6;500;358;346
France;Données consolidées;2024-01-01;12:00;2024-01-01T12:00:00+01:00;52569;51800;50900;92;18;2044;36938;10675;4852;5903;-2239;1193;-6802;22;-3014;-1862;-1110;-1686;878;14;60;18;99;775;206;965;4891;1006;6;503;343;347
France;Données consolidées;2024-01-01;14:30;2024-01-01T14:30:00+01:00;50013;49000;48800;91;19;2002;37382;9748;4488;6761;-1177;1197;-10404;21;-3014;-697;-2265;-2377;-2838;14;59;18;98;775;167;961;5142;1389;230;496;353;347
France;Données consolidées;2024-01-01;15:45;2024-01-01T15:45:00+01:00;;47500;47300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2024-01-01;17:45;2024-01-01T17:45:00+01:00;;51050;50850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2024-01-01;18:00;2024-01-01T18:00:00+01:00;54098;51800;51600;89;18;2002;44339;11383;1;10901;-23;1199;-15698;18;-3014;-2833;-2438;-3162;-4067;15;60;15;100;773;164;965;5712;3080;2109;500;352;348
France;Données consolidées;2024-01-01;18:15;2024-01-01T18:15:00+01:00;;52300;52100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2024-01-01;18:45;2024-01-01T18:45:00+01:00;;53400;53200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2024-01-01;20:00;2024-01-01T20:00:00+01:00;56437;53200;53000;89;17;2018;43882;15113;0;10621;-22;1197;-16361;18;-3014;-2800;-2249;-3190;-5513;14;60;15;98;775;181;964;5891;2594;2135;500;354;343
France;Données consolidées;2024-01-01;20:45;2024-01-01T20:45:00+01:00;;51750;51550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2024-01-01;21:15;2024-01-01T21:15:00+01:00;;51150;50950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2024-01-01;22:15;2024-01-01T22:15:00+01:00;;50850;50650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2024-01-01;22:30;2024-01-01T22:30:00+01:00;53909;51600;51400;92;16;1970;42639;16849;0;8510;-406;1186;-16847;18;-2931;-2800;-2438;-3199;-4997;14;63;15;99;790;124;957;5384;1889;1237;490;354;342
France;Données consolidées;2024-01-01;22:45;2024-01-01T22:45:00+01:00;;52300;52100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2024-01-01;23:45;2024-01-01T23:45:00+01:00;;51450;52350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2024-01-02;00:15;2024-01-02T00:15:00+01:00;;49600;51600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;Données consolidées;2024-01-02;01:00;2024-01-02T01:00:00+01:00;50525;47200;49500;91;16;2088;40855;17361;0;6805;-2551;1187;-15211;20;-1198;-2450;-2216;-3200;-6591;14;62;15;93;885;155;955;5081;1719;6;490;354;343
