Date;Pic journalier consommation (MW);Température moyenne (°C);Température référence (°C)
2024-01-01;57310.0;7.8;4.6
2024-01-02;63708.0;9.8;4.6
2024-01-05;65752.0;7.3;4.6
2024-01-08;83281.0;1.0;4.7
2024-01-14;76486.0;0.7;4.8
2024-01-17;76730.0;6.5;4.9
2024-01-27;62064.0;6.0;5.3
2024-01-09;85548.0;-0.6;4.7
2024-01-31;68525.0;7.9;5.5
2024-01-11;83925.0;1.4;4.7
2024-01-12;82530.0;1.4;4.7
2024-01-22;73091.0;8.9;5.1
2024-01-26;63927.0;9.9;5.3
2024-01-04;65259.0;9.5;4.6
2024-01-16;82023.0;1.8;4.9
2024-01-19;83133.0;0.7;5.0
2024-01-21;73774.0;4.2;5.1
2024-01-30;66284.0;9.2;5.5
2024-01-03;64944.0;10.6;4.6
2024-01-06;64554.0;5.8;4.6
2024-01-07;69136.0;4.1;4.6
2024-01-10;85641.0;0.1;4.7
2024-01-20;78820.0;-0.5;5.0
2024-01-23;70179.0;9.9;5.2
2024-01-25;64304.0;10.9;5.2
2024-01-28;61853.0;6.7;5.4
2024-01-13;78242.0;0.0;4.8
2024-01-15;79653.0;3.5;4.8
2024-01-18;77598.0;5.1;4.9
2024-01-24;65412.0;12.2;5.2
2024-01-29;67873.0;9.3;5.4
